delta,ZRPu,ZPPu,ZRPs,ZPPs
8.01,0.939499724,0.997954769,0.00015961,-5.09E-07
8.02,0.939914861,0.997975379,0.000158783,-4.96E-07
8.03,0.940327716,0.997995773,0.00015796,-4.83E-07
8.04,0.940738295,0.998015957,0.000157141,-4.70E-07
8.05,0.941146608,0.998035935,0.000156325,-4.57E-07
8.06,0.94155266,0.998055712,0.000155513,-4.44E-07
8.07,0.94195646,0.998075294,0.000154704,-4.31E-07
8.08,0.942358015,0.998094685,0.000153899,-4.18E-07
8.09,0.942757334,0.998113891,0.000153098,-4.05E-07
8.1,0.943154423,0.998132915,0.0001523,-3.91E-07
8.11,0.943549291,0.998151763,0.000151506,-3.78E-07
8.12,0.943941944,0.998170439,0.000150715,-3.65E-07
8.13,0.944332392,0.998188947,0.000149928,-3.51E-07
8.14,0.94472064,0.998207292,0.000149145,-3.37E-07
8.15,0.945106699,0.998225478,0.000148365,-3.24E-07
8.16,0.945490573,0.99824351,0.000147589,-3.10E-07
8.17,0.945872273,0.99826139,0.000146816,-2.96E-07
8.18,0.946251805,0.998279124,0.000146047,-2.82E-07
